"Data","Último","Abertura","Máxima","Mínima","Var%"
"17.08.2021","656,530","659,940","659,940","656,530","-0,67%"
"16.08.2021","660,990","660,990","660,990","660,990","-0,88%"
"12.08.2021","666,850","668,720","668,720","666,850","-0,68%"
"11.08.2021","671,420","670,620","671,420","670,620","0,44%"
"10.08.2021","668,500","668,500","668,500","668,500","-0,20%"
"09.08.2021","669,860","668,790","669,860","668,790","0,32%"
"06.08.2021","667,740","667,740","667,740","667,740","-1,40%"
"05.08.2021","677,230","677,230","677,230","677,230","0,04%"
"04.08.2021","676,990","676,990","676,990","676,990","0,84%"
"03.08.2021","671,320","671,320","671,320","671,320","-1,37%"
"02.08.2021","680,630","678,160","680,630","678,160","-0,65%"
"30.07.2021","685,100","685,100","685,100","685,100","-0,13%"
"29.07.2021","685,980","685,700","685,980","685,700","-0,01%"
"28.07.2021","686,020","686,020","686,020","686,020","0,24%"
"27.07.2021","684,400","684,400","684,400","684,400","-0,29%"
"26.07.2021","686,400","685,560","686,400","685,560","-0,42%"
"22.07.2021","689,300","689,300","689,300","689,300","-0,01%"
"21.07.2021","689,360","690,200","690,200","689,360","-0,17%"
"20.07.2021","690,540","690,540","690,540","690,540","0,16%"
"19.07.2021","689,460","689,460","689,460","689,460","0,32%"
"16.07.2021","687,260","687,260","687,260","687,260","0,32%"
"15.07.2021","685,060","685,060","685,060","685,060","-0,05%"
"14.07.2021","685,390","685,390","685,390","685,390","0,61%"
"13.07.2021","681,240","681,240","681,240","681,240","-0,34%"
"12.07.2021","683,530","683,530","683,530","683,530","-0,21%"
"08.07.2021","684,990","684,990","684,990","684,990","0,36%"
"07.07.2021","682,560","682,560","682,560","682,560","-0,17%"
"06.07.2021","683,730","683,730","683,730","683,730","-0,43%"
"02.07.2021","686,670","686,670","686,670","686,670","0,03%"
"01.07.2021","686,440","686,440","686,440","686,440","-0,42%"
"30.06.2021","689,350","689,350","689,350","689,350","-0,26%"
"29.06.2021","691,130","691,130","691,130","691,130","0,24%"
"28.06.2021","689,470","689,470","689,470","689,470","0,29%"
"01.06.2021","687,450","687,450","687,450","687,450","0,19%"
"28.05.2021","686,140","686,140","686,140","686,140","1,42%"
"25.05.2021","676,530","676,530","676,530","676,530","0,16%"
"24.05.2021","675,440","675,440","675,440","675,440","0,20%"
"21.05.2021","674,070","674,070","674,070","674,070","0,08%"
"20.05.2021","673,560","673,560","673,560","673,560","0,08%"
"12.05.2021","673,040","673,040","673,040","673,040","-0,39%"
"11.05.2021","675,690","675,690","675,690","675,690","0,08%"
"10.05.2021","675,180","675,180","675,180","675,180","-1,11%"
"03.05.2021","682,790","682,790","682,790","682,790","-0,14%"
"30.04.2021","683,740","683,740","683,740","683,740","-0,05%"
"29.04.2021","684,110","684,110","684,110","684,110","-0,32%"
"27.04.2021","686,330","686,330","686,330","686,330","1,57%"
"20.04.2021","675,730","675,730","675,730","675,730","-0,18%"
"19.04.2021","676,970","676,970","676,970","676,970","0,21%"
"16.04.2021","675,580","675,580","675,580","675,580","1,17%"
"15.04.2021","667,800","667,800","667,800","667,800","0,06%"
"06.04.2021","667,370","667,370","667,370","667,370","-0,27%"
"05.04.2021","669,180","669,180","669,180","669,180","0,03%"
"01.04.2021","668,960","668,960","668,960","668,960","0,56%"
"25.03.2021","665,210","665,210","665,210","665,210","-1,49%"
"24.03.2021","675,270","675,270","675,270","675,270","-0,24%"
"22.03.2021","676,910","676,910","676,910","676,910","-1,76%"
"19.03.2021","689,050","689,050","689,050","689,050","0,39%"
"18.03.2021","686,400","686,400","686,400","686,400","-0,01%"
"17.03.2021","686,490","686,490","686,490","686,490","0,16%"
"10.03.2021","685,420","685,420","685,420","685,420","-4,21%"
"05.02.2021","715,550","715,550","715,550","715,550","-0,45%"
"03.02.2021","718,770","718,770","718,770","718,770","0,07%"
"02.02.2021","718,250","717,260","718,250","717,260","0,26%"
"01.02.2021","716,410","716,740","716,740","716,410","0,63%"
"29.01.2021","711,960","711,960","711,960","711,960","0,72%"
"28.01.2021","706,890","706,890","706,890","706,890","0,03%"
"27.01.2021","706,690","706,690","706,690","706,690","0,67%"
"26.01.2021","701,970","701,970","701,970","701,970","0,21%"
"22.01.2021","700,480","701,770","701,770","700,480","-1,31%"
"21.01.2021","709,810","709,810","709,810","709,810","0,07%"
"20.01.2021","709,280","708,630","709,280","708,630","-0,36%"
"18.01.2021","711,850","708,890","711,850","708,890","0,77%"
"15.01.2021","706,410","706,410","706,410","706,410","-0,25%"
"14.01.2021","708,170","703,610","708,170","703,610","0,40%"
"13.01.2021","705,360","705,360","705,360","705,360","-0,57%"
"12.01.2021","709,420","704,510","709,420","704,510","0,44%"
"11.01.2021","706,280","706,280","706,280","706,280","-1,22%"
"08.01.2021","714,990","712,670","714,990","712,670","-0,25%"
"07.01.2021","716,790","716,790","716,790","716,790","-1,36%"
"06.01.2021","726,700","726,020","726,700","726,020","-0,39%"
"05.01.2021","729,580","729,580","729,580","729,580","-0,54%"
"04.01.2021","733,510","733,510","733,510","733,510","0,50%"
"29.12.2020","729,880","728,850","729,880","728,850","0,54%"
"28.12.2020","725,930","727,640","727,640","725,930","-0,21%"
"23.12.2020","727,460","727,460","727,460","727,460","0,66%"
"22.12.2020","722,660","724,020","724,020","722,660","0,26%"
"21.12.2020","720,770","716,720","720,770","716,720","-0,07%"
"18.12.2020","721,270","717,880","721,270","717,880","0,03%"
"17.12.2020","721,080","721,080","723,460","721,080","0,21%"
"16.12.2020","719,540","721,910","721,910","719,540","-0,30%"
"15.12.2020","721,730","719,350","721,730","719,350","0,26%"
"14.12.2020","719,840","721,880","721,880","719,840","0,17%"
"11.12.2020","718,640","715,930","718,640","715,930","0,45%"
"10.12.2020","715,400","715,740","715,740","713,710","0,22%"
"09.12.2020","713,860","715,890","715,890","713,860","0,17%"
"08.12.2020","712,660","712,660","714,010","712,660","-0,02%"
"07.12.2020","712,810","712,470","712,810","712,470","0,17%"
"04.12.2020","711,610","711,610","711,610","711,610","0,45%"
"03.12.2020","708,390","708,390","708,390","708,390","0,65%"
"02.12.2020","703,850","703,850","703,850","703,850","1,22%"
"01.12.2020","695,390","695,390","695,390","695,390","0,69%"
"30.11.2020","690,610","690,610","690,610","690,610","-0,07%"
"27.11.2020","691,060","691,060","691,060","691,060","0,45%"
"26.11.2020","687,930","687,930","687,930","687,930","0,50%"
"25.11.2020","684,480","684,480","684,480","684,480","0,46%"
"24.11.2020","681,370","681,370","681,370","681,370","0,31%"
"23.11.2020","679,240","679,240","679,240","679,240","-1,10%"
"20.11.2020","686,800","686,800","686,800","686,800","-0,30%"
"19.11.2020","688,880","688,880","688,880","688,880","-0,11%"
"18.11.2020","689,670","689,670","689,670","689,670","-0,59%"
"17.11.2020","693,750","693,750","693,750","693,750","0,03%"
"16.11.2020","693,550","693,550","693,550","693,550","0,46%"
"13.11.2020","690,380","690,380","690,380","690,380","0,32%"
"12.11.2020","688,210","688,210","688,210","688,210","-0,35%"
"11.11.2020","690,650","690,650","690,650","690,650","-1,07%"
"10.11.2020","698,090","698,090","698,090","698,090","-0,21%"
"09.11.2020","699,570","699,570","699,570","699,570","0,89%"
"06.11.2020","693,370","693,370","693,370","693,370","0,46%"
"05.11.2020","690,190","690,190","690,190","690,190","0,36%"
"04.11.2020","687,680","687,680","687,680","687,680","0,46%"
"03.11.2020","684,520","684,520","684,520","684,520","-0,26%"
"30.10.2020","686,290","686,290","686,290","686,290","-0,36%"
"29.10.2020","688,740","688,740","688,740","688,740","-0,11%"
"28.10.2020","689,530","689,530","689,530","689,530","0,08%"
"27.10.2020","689,000","689,000","689,000","689,000","-0,12%"
"26.10.2020","689,800","689,800","689,800","689,800","-0,26%"
"23.10.2020","691,600","691,600","691,600","691,600","-0,41%"
"22.10.2020","694,420","694,420","694,420","694,420","-0,21%"
"21.10.2020","695,910","695,910","695,910","695,910","0,08%"
"20.10.2020","695,380","695,380","695,380","695,380","0,47%"
"19.10.2020","692,160","692,160","692,160","692,160","0,90%"
"16.10.2020","685,970","685,970","685,970","685,970","-0,26%"
"15.10.2020","687,760","687,760","687,760","687,760","-0,84%"
"14.10.2020","693,590","693,590","693,590","693,590","-0,02%"
"13.10.2020","693,740","693,740","693,740","693,740","0,71%"
"09.10.2020","688,840","688,840","688,840","688,840","0,42%"
"08.10.2020","685,980","685,980","685,980","685,980","0,37%"
"07.10.2020","683,450","683,450","683,450","683,450","-0,04%"
"28.09.2020","683,740","683,740","683,740","683,740","-2,29%"
"25.09.2020","699,800","699,800","699,800","699,800","0,08%"
"24.09.2020","699,270","699,270","699,270","699,270","0,91%"
"23.09.2020","692,930","692,930","692,930","692,930","-0,51%"
"22.09.2020","696,490","696,490","696,490","696,490","0,62%"
"21.09.2020","692,210","692,210","692,210","692,210","-1,66%"
"17.09.2020","703,860","703,860","703,860","703,860","0,52%"
"16.09.2020","700,210","700,210","700,210","700,210","-0,93%"
"14.09.2020","706,800","706,800","706,800","706,800","0,52%"
"11.09.2020","703,120","703,120","703,120","703,120","-0,67%"
"10.09.2020","707,830","707,830","707,830","707,830","-0,62%"
"09.09.2020","712,240","712,240","712,240","712,240","-0,12%"
"08.09.2020","713,120","713,120","713,120","713,120","-0,27%"
"04.09.2020","715,070","715,070","715,070","715,070","0,32%"
"03.09.2020","712,760","712,760","712,760","712,760","0,13%"
"02.09.2020","711,870","711,870","711,870","711,870","-0,27%"
"01.09.2020","713,820","713,820","713,820","713,820","0,20%"
"18.08.2020","712,390","712,390","712,390","712,390","1,24%"